Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
regulation of smooth muscle cell proliferation (GO:0048660)	10/49	0.000503120642831195	0.00980322949516541	10	0.204081632653061	PDGFRB;NR4A3;IGFBP5;ELN;OGN;RBPMS2;CCN4;CDH13;APOD;THBS1
vascular endothelial growth factor receptor signaling pathway (GO:0048010)	12/67	0.000508682656041974	0.00986179742216048	12	0.17910447761194	NRP1;MAPK11;NRP2;SHC2;AXL;FLT4;ITGB3;KDR;VEGFC;CLEC14A;FYN;VEGFD
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	52/547	0.000517746941064935	0.0099873384931426	52	0.0950639853747715	ACVRL1;BTG2;CDKN1B;THRA;CITED2;NR3C1;GLI3;ELK3;SOX18;ENPP1;TSPYL2;RBFOX2;IGFBP5;ZBTB38;SFMBT2;FOXL2;FOXP2;DKK3;EID1;SFRP1;ZEB1;MDFIC;CRY2;GAS6;ZFPM2;CRYAB;HDAC5;TSHZ3;GATA6;TWIST2;ZBTB4;FOXO1;TCEAL7;IFI16;NACC2;ATOH8;RUNX1T1;WNT4;JUN;ZBTB16;SAMD4A;NR1D2;NR2F2;FOXN3;KLF4;SMARCA2;TBX3;TBX2;HEYL;PER1;WT1;ID4
positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068)	13/77	0.000546362300590003	0.0104868943068469	13	0.168831168831169	PDGFRB;PDGFRA;MYOC;INSR;GAB1;FN1;IRS2;FGF2;DCN;SELP;PDGFD;KDR;TEK
branching involved in ureteric bud morphogenesis (GO:0001658)	6/19	0.000591066451358491	0.0111235822894686	6	0.315789473684211	WT1;MYC;TCF21;NPNT;PKD2;FGF2
cellular response to glucagon stimulus (GO:0071377)	6/19	0.000591066451358491	0.0111235822894686	6	0.315789473684211	ADCY9;PRKAR1A;PRKAR2B;ADCY4;ADCY8;ADCY5
endocardial cushion morphogenesis (GO:0003203)	6/19	0.000591066451358491	0.0111235822894686	6	0.315789473684211	ACVRL1;HEYL;GATA5;TBX2;TGFBR2;ENG
ureteric bud morphogenesis (GO:0060675)	6/19	0.000591066451358491	0.0111235822894686	6	0.315789473684211	WT1;MYC;TCF21;NPNT;PKD2;FGF2
cellular response to insulin stimulus (GO:0032869)	18/129	0.00059637614264959	0.011123725326486	18	0.13953488372093	HDAC5;IRS1;CAV2;INSR;RARRES2;GAB1;IRS2;FOXO4;SLC2A4;SORBS1;FOXO1;KAT2B;RAB31;PDK4;ENPP1;PDK2;VAMP2;RAB8B
enzyme linked receptor protein signaling pathway (GO:0007167)	19/140	0.000604852574836922	0.011123725326486	19	0.135714285714286	EPHB6;PDGFRB;PDGFRA;SHC2;NPR1;NPR2;INSR;FLT4;TIE1;LIFR;NGF;EFS;FES;AXL;KDR;FYN;TEK;ANGPTL1;DDR2
negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101)	16/108	0.00060618455517519	0.011123725326486	16	0.148148148148148	SMAD3;HTRA3;CAV1;TGFB1I1;CHRD;CRIM1;ASPN;TGFBR2;FSTL3;SPART;CILP;RBPMS2;EMILIN1;SPRY1;NBL1;HSPA1A
endothelial cell development (GO:0001885)	7/26	0.000608373780168105	0.011123725326486	7	0.269230769230769	PPP1R16B;COL15A1;ROBO4;SOX18;PDE2A;MYADM;PECAM1
membrane depolarization during action potential (GO:0086010)	7/26	0.000608373780168105	0.011123725326486	7	0.269230769230769	KCNH2;SCN7A;CACNA1C;SCN4B;CACNA1H;SLC8A1;SCN2B
positive regulation of filopodium assembly (GO:0051491)	7/26	0.000608373780168105	0.011123725326486	7	0.269230769230769	GPM6A;NRP1;RIPOR2;CCL21;DPYSL3;PALM;NEURL1
metal ion transport (GO:0030001)	14/88	0.00063252944216259	0.0115108423955815	14	0.159090909090909	RAMP2;CALCRL;TRPC4;CACNA2D1;TRPC1;CAV1;ITPR1;CACNA1C;PKD2;SLC8A1;SLC8A2;NIPAL2;FYN;RAMP1
peptidyl-tyrosine phosphorylation (GO:0018108)	12/69	0.000670562894330632	0.0120460242421502	12	0.173913043478261	GHR;PDGFRB;PDGFRA;EFEMP1;FES;FLT4;INSR;KDR;FYN;TEK;DDR2;MAPK3
