Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Adenovirus Infections	11/90	0.00190716022113734	0.0350755950260644	11	0.122222222222222	CXADR;PCNA;CHKA;CHEK1;MYO6;E2F1;EIF4EBP1;TNFRSF10B;DSG2;CDC25A;FOXA2
Absent earlobe	4/13	0.00191081030362687	0.0350755950260644	4	0.307692307692308	PLK4;CENPE;ESCO2;TRAIP
Behavioral tic	4/13	0.00191081030362687	0.0350755950260644	4	0.307692307692308	SIX1;ECT2;PROM1;CD24
High-Grade Prostatic Intraepithelial Neoplasia	10/77	0.00191245987400837	0.0350755950260644	10	0.12987012987013	TFAP2A;CREB3L4;GDF15;FASN;CHEK1;SPP1;TMPRSS2;MKI67;AURKA;CDKN3
Hepatocarcinogenesis	38/527	0.0019188053476093	0.0350755950260644	38	0.0721062618595825	DNMT1;TFRC;KIF14;TGFA;MIR429;ENO1;FOXM1;AURKA;MUC1;PTTG1;CDH1;STMN1;RPS6KA1;SPP1;DNMT3B;E2F1;E2F2;MYBL2;PROM1;PITX1;DLGAP5;E2F8;PLK4;TPD52;CDKN2A;PLK1;RIPK4;TMEM132A;SMARCA4;CCNA2;CEACAM1;PKM;FASN;FGF19;HDGF;CD24;EZH2;CDKN3
Myeloid Leukemia, Chronic	57/876	0.00192245362858862	0.0350755950260644	57	0.0650684931506849	TFRC;SLC2A1;AQP5;FOXM1;MECOM;CDH1;CHEK2;DNMT3B;RAC3;CA9;SOX4;ABCC1;TPI1;MMP9;NME1;GPRC5A;PKM;CDCP1;ESPL1;FANCD2;HMBS;TIMELESS;BIRC5;TKT;GAPDH;CCNO;FBN2;DNMT1;PCNA;LAMA1;LEF1;CDCA7;TMPRSS2;HMMR;TYMS;EVPL;AGPAT2;AURKB;AURKA;EBP;MUC1;SPP1;EIF4EBP1;PRAME;E2F3;STAP2;PROM1;TFAP2A;CDKN2A;IDH1;PLK1;IDH2;CDC6;VANGL2;RAD51;PTPN6;EZH2
Mammary Tumorigenesis	17/176	0.00193729394240151	0.0352341491937087	17	0.0965909090909091	DNMT1;PCNA;CDKN2A;BNIP3;TGFA;SIX1;CDC7;MST1R;CDC25A;MUC1;MELK;PTTG1;ERBB3;FABP5;UBE2S;CHEK2;CHEK1
Acute leukemia	36/492	0.00194864478922034	0.03532843670077	36	0.0731707317073171	TOP2A;DNMT1;PCNA;TFRC;LAMA1;LEF1;TYMS;EVPL;AURKB;MECOM;MDK;PPP1R13L;STMN1;CHEK1;PRAME;SOX4;COX8A;ABCC3;NQO1;MARCKSL1;EPHA7;ABCC1;CDKN2A;IDH1;IDH2;GGH;CCNA2;RAD51;FANCD2;PSMG1;PTPN6;TCF3;CD24;EZH2;SLC29A2;CDKN3
Reduced number of teeth	6/31	0.00200752833990265	0.0361670750292524	6	0.193548387096774	DSP;TFAP2A;PLK4;CENPE;PORCN;TRAIP
Clitoral hypoplasia	6/31	0.00200752833990265	0.0361670750292524	6	0.193548387096774	CDT1;PORCN;CDC45;ORC6;ORC1;CDC6
