Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
DNA unwinding involved in DNA replication (GO:0006268)	6/16	3.83286173077952e-05	0.00232647475243731	6	0.375	RECQL4;RAD51;MCM7;HMGA1;MCM4;MCM2
positive regulation of cell cycle G2/M phase transition (GO:1902751)	7/23	4.02477028256655e-05	0.00239771962944751	7	0.304347826086957	CCNB1;RCC2;CDK1;CDC7;CDC25C;DTL;CDC25A
negative regulation of cytokinesis (GO:0032466)	4/6	5.13153757414452e-05	0.00300148297745871	4	0.666666666666667	CHMP4C;AURKB;E2F7;E2F8
cell-cell junction organization (GO:0045216)	13/82	5.47695107830638e-05	0.00314631278909136	13	0.158536585365854	DSP;CXADR;ARVCF;MARVELD2;CDH1;MARVELD3;CDH24;F2RL1;DSG2;PKP3;NECTIN4;TJP3;NECTIN1
cellular macromolecule biosynthetic process (GO:0034645)	30/314	5.65753065986792e-05	0.00316381043509767	30	0.0955414012738854	PIF1;FEN1;MRPS15;MCM7;GCNT1;SCX;MCM10;TYMS;RECQL4;ORC6;CDC45;ORC1;EXO1;POLD1;CHEK1;PCLAF;E2F1;CLSPN;POLR2H;RMI2;CDC7;CDC6;TICRR;FAM111B;PAX8;TIMELESS;CDK1;MCM4;DNA2;MCM2
protein localization to chromosome, centromeric region (GO:0071459)	6/17	5.70410336449067e-05	0.00316381043509767	6	0.352941176470588	CDK1;TTK;KNL1;HASPIN;CENPA;AURKB
DNA strand elongation involved in DNA replication (GO:0006271)	6/18	8.23949085049079e-05	0.00441774034433815	6	0.333333333333333	GINS1;GINS2;PCNA;MCM7;GINS4;MCM4
regulation of chromosome segregation (GO:0051983)	6/18	8.23949085049079e-05	0.00441774034433815	6	0.333333333333333	RMI2;KIF2C;CDC6;MKI67;BUB1;AURKB
transport across blood-brain barrier (GO:0150104)	13/86	9.09323872476846e-05	0.00479556540616068	13	0.151162790697674	ABCC3;ABCC1;TFRC;SLC2A1;SLC7A1;SLC5A6;SLC7A5;FABP5;SLC29A4;SLC19A1;MFSD2A;SLC27A4;SLC29A2
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	5/12	9.80914477848431e-05	0.00485477211575139	5	0.416666666666667	CDT1;CENPE;NUF2;KIF2C;NDC80
mitotic nuclear membrane disassembly (GO:0007077)	5/12	9.80914477848431e-05	0.00485477211575139	5	0.416666666666667	CCNB2;CCNB1;NEK6;PLK1;CDK1
negative regulation of cell division (GO:0051782)	5/12	9.80914477848431e-05	0.00485477211575139	5	0.416666666666667	ORC6;CHMP4C;AURKB;E2F7;E2F8
regulation of sister chromatid cohesion (GO:0007063)	5/12	9.80914477848431e-05	0.00485477211575139	5	0.416666666666667	FEN1;ESPL1;CDCA5;DDX11;BUB1
cardiac muscle cell-cardiac muscle cell adhesion (GO:0086042)	4/7	0.000115566996535453	0.00548641138331148	4	0.571428571428571	DSP;CXADR;DSG2;DSC2
establishment of skin barrier (GO:0061436)	6/19	0.000115970150470992	0.00548641138331148	6	0.315789473684211	CLDN4;KDF1;STMN1;TMEM79;LSR;SFN
regulation of water loss via skin (GO:0033561)	6/19	0.000115970150470992	0.00548641138331148	6	0.315789473684211	CLDN4;KDF1;STMN1;TMEM79;LSR;SFN
epithelial cell differentiation (GO:0030855)	14/101	0.000129315785488246	0.00602911423066212	14	0.138613861386139	MESP1;DLX3;PCNA;SIX1;GRHL2;OVOL2;BASP1;CASP6;CDK1;IRF6;CCNO;E2F7;PCK2;E2F8
tight junction assembly (GO:0120192)	10/56	0.000141984900212677	0.00652522034263116	10	0.178571428571429	CLDN4;CLDN3;MARVELD2;CLDN7;MARVELD3;LSR;F11R;ECT2;GRHL2;CRB3
